,Comentarios,TweetPre
4697,"@gabicomentx meu deusssss eu nunca fui triste, meus papas",gabicomentx deusss nunca triste meus papa
4698,estoy muy triste y no paro de llorar escribirme un texto bonito,triste paro llorar escribirme texto bonito
4699,Ya empezó con todo. Nerviosa y tímida pero se va adaptando muy bien.,empezo nerviosa timida adaptando bien
4700,sumaria @myhairisnasty adm se voce no me seguir eu vou ficar triste viu? me mate de comentar pontem e hoje e até agora nada 🤡 SIGAM EUMARIA NO IG,sumaria myhairisnasty voce seguir ficar triste mate comentar pontem hoje agora sigam eumaria
4701,@cottonetr_ triste.,cottonetr triste
4702,ahi um el nunca fui triste de,nunca triste
4703,@hjsolomio me haces ver como una desesperada,hjsolomio haces desesperada
4704,"Estaba en notify escuchando música y dije x no escuchar al harry, me sale sweet creature. DIJE ESCUCHAR NO LLORAR #HarryComeToUruguay",notify escuchando musica dije escuchar harry sale sweet creature dije escuchar llorar harrycometouruguay
4705,Que triste,triste
4706,@MariaLuizaQuar3 Cara de cansado do calor hahaha...,marialuizaquar cara cansado calor hahaha
4707,"Ya mismo sale un "" patriota "" jajaja llorar de que están vendiendo "" el país ""... verdad @Moluskein #AsiDePendejosSon",mismo sale patriota jajaja llorar estan vendiendo pais verdad moluskein asidependejosson
4708,rodrigo: sabe tudo q eu costo em asterisco sem eu nem falar o tá aconteciendo pra ele eu: consigo descubrir quando ele tá triste pelo jeito que ele digita,rodrigo sabe tudo costo asterisco falar aconteciendo consigo descubrir quando triste pelo jeito digita
4709,Eu tava completamente furioso e triste pq tinha cegado na parte em que o meu pobre meio-dragão aparece e ta se auto destruido mas dai eu vi estas capas e agora eu no consigo parar de admirar jajaja belleza. Mas quando eu voltar jajaja ler tenho certeza que jajaja dor vai voltar na hora,tava completamente furioso triste tinha cegado parte pobre meio dragao aparece auto destruido capas agora consigo parar admirar jajaja belleza quando voltar jajaja tenho certeza jajaja voltar hora
4710,sou tío triste,triste
4711,«Triste época la nuestra. Es más fácil desintegrar un átomo que superar un prejuicio » Albert Einstein,triste epoca facil desintegrar atomo superar prejuicio albert einstein
4712,@apenaslenas lungs lenaaaa ando eu libro q va eh bolera eu libro q va nunca me enseno jajaja jugar e fico TRISTE por favor me ensima o minimo pra eu n fazer feo em latina? Kkkk meus sé sao os 2 burro,apenaslenas lung lenaaa ando libro bolera libro nunca enseno jajaja jugar fico triste favor ensima minimo fazer latina kkk meus burro
4713,Yo ahora mismo aguantando las ganas de llorar..... solo porque estoy en el trabajo....,ahora mismo aguantando ganas llorar solo trabajo
4714,@Oscarr42 🥺 que triste es esto,oscarr triste
4715,Yo ya me he cansado. La pareja de centrales actual no funciona. Que saque jajaja dos del filial pero basta ya de Felipe y Hermoso. Basta,cansado pareja centrales actual funciona saque jajaja filial basta felipe hermoso basta
4716,Estou ansiosa porque no consigo entrever e no conseguir entrever me deiva ainda mais ansiosa,estou ansiosa consigo entrever conseguir entrever deiva ainda mais ansiosa
4717,"jajaja las personas que piensan que la depresión es solo algo mental: ahora mismo moverme me duele, no puedo comer pq me causa dolor en el estomago y perdí el apetito, lo cual probablemente me va jajaja causar bajón de azúcar y migraña.",jajaja persona piensan depresion solo mental ahora mismo moverme duele puedo comer causa dolor estomago perdi apetito probablemente jajaja causar bajon azucar migrana
4718,nas ganas d llorar;),ganas llorar
4719,Ya ando bien ansioso al,ando bien ansioso
4720,O concepto do jovem preocupado com jajaja informado que ao inés de fazer isso de forma silenciosa para jajaja própia pessoas vem pro Twitter dar indirecta pra ganar like,concepto jovem preocupado jajaja informado ines fazer isso forma silenciosa jajaja propia pessoas twitter indirecta ganar like
4721,Yo mi almohada una triste realidad.🤦🏾‍♂️🤔,almohada triste realidad
4722,Essa vibe do início é óptima mas te ansiosa p comezar as tretas kkkkkkk,essa vibe inicio optimum ansiosa comezar tretas kkk
4723,@rubenssilvas @lf_ponde Só pergunto uma coisa: qual jajaja diferente entre menéalo e ornamento secreto? Tanto Lula como Bolsonaro so políticos que querer se manter no poder jajaja qualquier preso! Não esto nem aí para o povo. Triste,rubenssilvas ponde pergunto coisa qual jajaja diferente menealo ornamento secreto lula bolsonaro politico querer manter poder jajaja qualquier preso povo triste
4724,Já pode ficar ansiosa pela Boombay?,pode ficar ansiosa pela boombay
4725,Meu pai fallando que já tá ansioso pra ver chocar por causa de bebé,fallando ansioso chocar causa bebe
4726,"Tô muito ansiosa, socorro senhor eu só penso em comer 🥲",muito ansiosa socorro senhor penso comer
4727,"@Hayate261013 C'est dur à lire dans le sens o c'est triste, sombre etc",hayate lira dans sen triste sombre
4728,Estoy tan triste que feo cuando te agarran esos bajones que ni vos sabés el porque,triste agarran bajones sabes
4729,@ElPetisoArango Que triste que todos los equipos grandes traigan al menos 1 jugador que pone contenta la hinchada menos América. Solo apuestas,elpetisoarango triste equipos grandes traigan menos jugador pone contenta hinchada menos america solo apuestas
4730,@fehbigheart foi triste,fehbigheart triste
4731,"Não aguanto mais no ser enamorada de Min Yoongi, sufro sem ter ele pra fazer comidilla pra mim. Que vida triste",aguanto mais enamorada yoongi sufro fazer comidilla vida triste
4732,o mais triste foi quando jajaja paris seguir meu fe pro mike no insta e dream um jeito de hackear minha conta por causa disso kkkkkkkkkkkkkk só comigo estas cagada,mais triste quando jajaja paris seguir mike insta dream jeito hackear minha conta causa disso kkk comigo cagada
4733,"@StylesBurnier @l4rrysilenct_ é jajaja 3 vez q o Harry vem pro Brasil e eu de novo ñ vou ir poder ver ele: (te muito triste, já chofer que só ha mais cedo por causa disso, eu espero poder ir em algum show dele algum dia da minha vida: / só Deus sabe o quanto eu amo aquele homem com todo o meu coranto",stylesburnier rrysilenct jajaja harry brasil novo poder muito triste chofer mais cedo causa disso espero poder algum show dele algum minha vida deus sabe quanto aquele homem coranto
4734,"Agradecido con el tráfico de estas últimas semanas. Puedo salir más tarde de casa y no voy estresado por si llegaré jajaja tiempo. Llegó pronto jajaja casa y relajado. Parecerá tonto, pero no tener ese estrés ni carga en la ansiedad me tiene tranquilo y se siente muy bien.",agradecido trafico ultima semanas puedo salir tarde casa estresado llegare jajaja tiempo llego pronto jajaja casa relajado parecera tonto tener estres carga ansiedad tranquilo bien
4735,deve ser muito triste ser hacer da halsey e no poder clamar ela de fea né? jajaja mulher fica linda com qualquier cabello e estilo,deve muito triste hacer halsey poder clamar jajaja mulher fica linda qualquier cabello estilo
4736,"@lvsdiavolo cómo que te hizo llorar, que hip",lvsdiavolo hizo llorar
4737,"@beahhaha pq linda, uma gatinha como va picando triste, pode isso no",beahhaha linda gatinha picando triste pode isso
4738,"vou no megafonía e no show do turba do pagode com Duda e Larissa, nunca fui triste",megafonia show turba pagode duda larissa nunca triste
4739,por q cuando estoy triste me apetece hacerme un piercing en el pezon? q soy masoquista?,triste apetece hacerme pierce pezon masoquista
4740,@levesxmanon MAS ELA ASSISTE OS DORAMA E NAO ME CONTA Q QVIDA TRISTE VC ME ODEIA,levesxmanon assiste dorama conta qvida triste odeia
4741,@ninasrise verdad? yo pensé lo mismo y me largue jajaja llorar,ninasrise verdad pense mismo largue jajaja llorar
4742,"Falar é muito fácil! Como c vai sonar com o pidio? Se amor é lujo, com jajaja grana que alguns tem só dá pra ter ódio. E é literalmente isso mesmo. Quer ver uma triste e cansada? Coloca algo no coranto dela e dedos tira. Vai ver que tudo é motivo de esquecimento",falar muito facil sonar pidio amor lujo jajaja grana alguns odio literalmente isso mesmo quer triste cansada coloca coranto dela dedos tira tudo motivo esquecimento
4743,Eu te tío cansada desea aporrinhação sem necesidad sabe 😞😞😞😞,cansada desea aporrinhacao necesidad sabe
4744,"me puse triste, mi abuelita se enfermó y no la llevaron jajaja emergencias",puse triste abuelita enfermo llevaron jajaja emergencias
4745,todos 🧑‍🤝‍🧑👭👬👫 andamos 🏃🏻‍♂️ detras de del mismo 👁️👁️ objetivo de no tener ansiedad,andamos detras mismo objetivo tener ansiedad
4746,pffff me hacen llorar,pfff hacen llorar
4747,"Cansado, pero por motivos buenos",cansado motivos buenos
4748,"Wooow vamos jajaja llorar, creo que he durado... 2 días: D",wooow vamos jajaja llorar creo durado dia
4749,"@randolfeap Vem aqui me obligar jajaja injertar substancias ruidosas na minha fila seu paria deprimente, eunuco improductivo de M …. Esperando ansioso",randolfeap aqui obligar jajaja injertar substancias ruidosas minha filum paria deprimente eunuco improductivo esperando ansioso
4750,nunca fui triste,nunca triste
4751,"@Elymin136 no se que es, pero se escucha re triste",elymin escucha triste
4752,la salud mental debería ir siempre ante todo y me parece muy triste que eso no sea posible muchas veces: (((,salud mental deberia siempre parece triste posible muchas veces
4753,Hasta SPREEN consiguió entrada y yo no triste,spreen consiguio entrada triste
4754,"@sebasrubio Ay no puedo más, que triste pm",sebasrubio puedo triste
4755,@MegaStim4N @Seiun_wow @shufflebasedj @Khansit0 @efectodiego007 @_biyin_ habla asi x ya esta cansada de gente como estas,megastim seiun shufflebasedj khansit efectodiego biyin habla cansada gente
4756,desde 2019 no tenía que huir de un salón para irme jajaja llorar al baño joder totalmente ya estoy viviendo la experiencia presencial,tenia huir salon irme jajaja llorar bano joder totalmente viviendo experiencia presencial
4757,"Bueno, soy una chica y muchos me ven atractiva, tengo tres armas, dos de ellas son pistolas y una nacer asi dotes femeninos, es lo que el oeste y muchas otras cosas te enseña en la vida, para que correr, llorar o quejarse de todo?",bueno chica atractiva tres armas pistolas nacer dotes femeninos oeste muchas cosas ensena vida correr llorar quejarse
4758,Genial👏👏👏pero nuestra una triste y terrible realidad,genial triste terrible realidad
4759,Gracias jajaja dios el regalo de yuri llego recién.. si llegaba el lunes como era previsto me comía la ansiedad de dárselo 😂,gracias jajaja dios regalo yuri llego recien llegaba lunes previsto comia ansiedad darselo
4760,@oraoraDeh amiga dique desesperada aqui fui cuidar da cachorra e o nariz dela ta sangrando: (e ela tem leishmaniosis fico triste demas com isso,oraoradeh amiga dique desesperada aqui cuidar cachorra nariz dela sangrando leishmaniosis fico triste demas isso
4761,te cansada disso já,cansada disso
4762,@BielGomez10 @caduribeirokk @zlatansincero Ele tem 40 anos e dinheiro pra caracho. Não tá preocupado com isso,bielgomez caduribeirokk zlatansincero ano dinheiro caracho preocupado isso
4763,"Odeio and cortar minha onda pq eu evito cortar jajaja onda de todo mundo Ai ar eu to aqui de tom, triste e sem grasa e dolida pra comer um doce",odeio cortar minha onda evito cortar jajaja onda mundo aqui triste grasa dolida comer doce
4764,"La guacamayo esta nerviosa, ansiosa y se esta arrancando las plumas. No me gusta nada que se utilicen animales para hacer televisión ni espectaculos. #SecretGala1 #Secret19E",guacamayo nerviosa ansiosa arrancando plumas gusta utilicen animales hacer television espectaculos secretgala secret
4765,@RitaFarje @paisencaos Vaya. jajaja llorar vieja,ritafarje paisencaos vaya jajaja llorar vieja
4766,"Mariana Gómez como Luz Arelys Henao en la adolescencia y la verdadera e inigualable, única y maravillosa cantante de música popular Arelys Henao en los ensayos la producción Arelys Henao - canto para no llorar. @marianamusic @ARELYSHENAO @CaracolTV",mariana gomez arelys henao adolescencia verdadera inigualable unica maravillosa cantante musica popular arelys henao ensayos produccion arelys henao canto llorar marianamusic arelyshenao caracoltv
4767,Me pone un poco nervioso que Carlos Sobera no calle mientras hablan con el loro 🙂 #SecretGala1,pone nervioso carlos sobera calle mientras hablan loro secretgala
4768,Meu te cansada tá meu deus,cansada deus
4769,"Na capa de um portal aí, "" Robinho vive de ronda e no será problema financiero caso pare de jugar "". Porque jajaja gente tá preocupado com isso mesmo, com os boleto tudo dele.",capa portal robinho vive ronda serum problema financiero caso pare jugar jajaja gente preocupado isso mesmo boleto tudo dele
4770,"-Tenes sueño? -No, estoy triste",tenes sueno triste
4771,"¿Se acuerdan del episodio de Bob Esponja donde se pone jajaja llorar porque ya no quiere ser un adulto y solamente quiere que su abuelita le haga galletas? Bueno, así me siento",acuerdan episodio esponja pone jajaja llorar quiere adulto solamente quiere abuelita haga galletas bueno siento
4772,Quiero curarme la ansiedad 🤦🏻‍♂️,quiero curarme ansiedad
4773,"@PrincipeMinie13 oh meu amor: ((vem aqui em casa pra voce ver ela personalmente. ela vai amar te ver viu; (mas nao fica triste no viu, por favor",principeminie amor aqui casa voce personalmente amar fica triste favor
